nom,code_postal,population,latitude,longitude,altitude,id_ville
Orchamps-Vennes,25390,2180,47.13167,6.525,750,144
Ornans,25290,4421,47.10556,6.1425,345,145
Pays-de-Clerval,25340,1161,47.39389,6.49944,290,146
Pays-de-Montbenoît,25650,1914,46.99222,6.46139,800,147
Pelousey,25170,1588,47.27611,5.92139,242,148
Pierrefontaine-les-Varans,25510,1361,47.21528,6.54056,700,149
Pirey,25480,2179,47.26278,5.96667,300,150
Pont-de-Roide,25150,3971,47.38556,6.77139,350,151
Pontarlier,25300,17928,46.905,6.35528,840,152
Pouilley-les-Vignes,25115,2162,47.25694,5.93556,240,153
Les Premiers Sapins,25580,1576,47.09555,6.34028,710,154
Quingey,25440,1313,47.10333,5.88083,265,155
Roche-lez-Beaupré,25220,2185,47.27611,6.11417,250,156
Rougemont,25680,1012,47.47944,6.35722,255,157
Roulans,25640,1122,47.31694,6.22972,360,158
le Russey,25210,2546,47.16306,6.72889,880,159
Saint-Vit,25410,5059,47.18167,5.81139,257,160
Sainte-Suzanne,25630,1461,47.50555,6.76972,320,161
Sancey,25430,1364,47.29472,6.58333,500,162
Saône,25660,3142,47.22472,6.11694,390,163
Seloncourt,25230,5812,47.46222,6.86056,345,164
Serre-les-Sapins,25770,1921,47.24194,5.92806,300,165
Sochaux,25600,3772,47.51639,6.83056,320,166
Taillecourt,25400,1132,47.4975,6.85194,340,167
Tarcenay-Foucherans,25620,1498,47.15611,6.11028,492,168
Thise,25220,2990,47.28472,6.08056,280,169
Torpes,25320,1004,47.16945,5.89139,250,170
Val-d'Usiers,25520,2128,46.95972,6.26833,750,171
Valdahon,25800,5715,47.1475,6.34611,650,172
Valentigney,25700,10624,47.4675,6.83333,326,173
Vercel-Villedieu-le-Camp,25530,1732,47.18389,6.39917,650,174
Vieux-Charmont,25600,2829,47.52417,6.83972,330,175
Villers-le-Lac,25130,5248,47.06111,6.66972,780,176
Voujeaucourt,25420,3152,47.475,6.77417,317,177
Arbois,39600,3146,46.90055,5.77278,292,178
Arinthod,39240,1149,46.39333,5.56583,450,179
Arlay,39140,1184,46.75889,5.52917,222,180
Beaufort-Orbagna,39190,1466,46.5725,5.43806,250,181
Bletterans,39140,1530,46.74472,5.45111,203,182
Bois-d'Amont,39220,1695,46.53417,6.14056,1073,183
Champagnole,39300,8035,46.74389,5.90806,540,184
Champvans,39100,1460,47.10472,5.4375,230,185
Chassal-Molinges,39360,1120,46.35333,5.76333,360,186
Chaussin,39120,1576,46.96583,5.405,188,187
Choisey,39100,1002,47.06306,5.46111,200,188
Clairvaux-les-Lacs,39130,1428,46.57417,5.7475,540,189
Coteaux du Lizon,39170,2146,46.39778,5.78861,582,190
Courlaoux,39570,1179,46.66556,5.46111,220,191
Cousance,39190,1290,46.52833,5.39,230,192
Damparis,39500,2590,47.07361,5.41194,200,193
Dampierre,39700,1316,47.155,5.74139,240,194
le Deschaux,39120,1030,46.9475,5.50167,225,195
Dole,39100,23784,47.09167,5.49639,225,196
Domblans,39210,1195,46.76278,5.59972,255,197
Foncine-le-Haut,39460,1107,46.65917,6.07556,860,198
Foucherans,39100,2286,47.08055,5.45472,212,199
Fraisans,39700,1170,47.14917,5.76111,220,200
Hauts-de-Bienne,39400,5099,46.515,6.025,750,201
Lavans-lès-Saint-Claude,39170,2342,46.38361,5.78028,520,202
Longchaumois,39400,1133,46.46139,5.93083,884,203
Lons-le-Saunier [3],39000,16942,46.6725,5.55222,267,204
