nom,code_postal,population,latitude,longitude,altitude,id_ville
le Breuil,71670,3508,46.79528,4.48417,330,315
Buxy,71390,2155,46.7125,4.69444,250,316
Chagny,71150,5402,46.90972,4.75472,210,317
Chalon-sur-Saône,71100,44592,46.78611,4.84972,178,318
Champforgeuil,71530,2616,46.82,4.83583,185,319
la Chapelle-de-Guinchay,71570,4038,46.21028,4.755,200,320
Charnay-lès-Mâcon,71850,8154,46.30944,4.78611,272,321
Charolles,71120,2789,46.43472,4.27556,290,322
Châtenoy-en-Bresse,71380,1098,46.79222,4.91361,191,323
Châtenoy-le-Royal,71880,6205,46.79083,4.81194,200,324
Chaudenay,71150,1124,46.91389,4.79389,205,325
Chauffailles,71170,3656,46.20667,4.34,386,326
Ciry-le-Noble,71420,2213,46.60583,4.29889,280,327
la Clayette,71800,1596,46.29,4.3075,400,328
Cluny,71250,4980,46.43306,4.65944,250,329
Couches,71490,1211,46.86945,4.57278,320,330
Crêches-sur-Saône,71680,3179,46.24417,4.78778,188,331
le Creusot,71200,20536,46.79722,4.42528,354,332
Crissey,71530,2473,46.8175,4.88306,185,333
Cuiseaux,71480,1853,46.49389,5.38722,276,334
Cuisery,71290,1580,46.55722,4.99806,200,335
Curgy,71400,1100,46.98444,4.38472,350,336
Demigny,71150,1769,46.92694,4.83583,200,337
Digoin,71160,7380,46.48472,3.98417,230,338
Dracy-le-Fort,71640,1471,46.79833,4.7625,212,339
Écuisses,71210,1624,46.75611,4.53833,350,340
Épervans,71380,1642,46.75389,4.89917,187,341
Épinac,71360,2150,46.99194,4.51139,350,342
Étang-sur-Arroux,71190,1788,46.86694,4.18528,275,343
Fontaines,71150,1845,46.85,4.77333,195,344
Fragnes-la-Loyère,71530,1434,46.83472,4.84583,185,345
Génelard,71420,1407,46.58111,4.23333,267,346
Gergy,71590,2569,46.87528,4.9475,182,347
Givry,71640,3623,46.78278,4.74361,220,348
Gueugnon,71130,6547,46.60306,4.05778,244,349
Hurigny,71870,1908,46.34806,4.79639,300,350
Iguerande,71340,1001,46.20778,4.07722,271,351
Laizé,71870,1135,46.39417,4.80583,220,352
Louhans,71500,6483,46.62722,5.22389,180,353
Lux,71100,1902,46.75361,4.85583,186,354
Mâcon [3],71000,34759,46.30833,4.83139,190,355
Marcigny,71110,1711,46.27444,4.03972,260,356
Marmagne,71710,1276,46.83667,4.36083,320,357
Matour,71520,1159,46.30583,4.48278,430,358
Mellecey,71640,1311,46.81083,4.72972,210,359
Mercurey,71640,1217,46.83917,4.72139,260,360
Mervans,71310,1488,46.79972,5.18833,185,361
Montceau-les-Mines,71300,16946,46.68167,4.36472,318,362
Montcenis,71710,1864,46.78861,4.38778,400,363
Montchanin,71210,4982,46.74778,4.46861,330,364
Montpont-en-Bresse,71470,1087,46.55556,5.16444,190,365
la Motte-Saint-Jean,71160,1186,46.49722,3.96333,290,366
Oslon,71380,1221,46.78361,4.92111,188,367
Ouroux-sur-Saône,71370,3183,46.72055,4.95222,190,368
Palinges,71430,1413,46.55305,4.21972,274,369
Paray-le-Monial,71600,9256,46.4525,4.12056,244,370
Perrecy-les-Forges,71420,1546,46.61333,4.21639,289,371
Pierre-de-Bresse,71270,1945,46.8825,5.25833,197,372
Prissé,71960,1865,46.32056,4.74472,210,373
la Roche-Vineuse,71960,1571,46.34333,4.72778,300,374
Romanèche-Thorins,71570,2002,46.19083,4.73667,200,375
Romenay,71470,1740,46.50139,5.06639,210,376
Rully,71150,1581,46.87333,4.74167,240,377
Sagy,71580,1250,46.60028,5.31028,201,378
Saint-Berain-sous-Sanvignes,71300,1106,46.70694,4.295,320,379
Saint-Christophe-en-Bresse,71370,1054,46.75278,4.98778,190,380
Saint-Eusèbe,71210,1175,46.71278,4.46278,340,381
Saint-Gengoux-le-National,71460,1047,46.61194,4.66167,248,382
Saint-Germain-du-Bois,71330,1947,46.75195,5.24306,210,383
Saint-Germain-du-Plain,71370,2346,46.70278,4.98167,190,384
Saint-Léger-sur-Dheune,71510,1554,46.845,4.63694,240,385
Saint-Loup-de-Varennes,71240,1249,46.72611,4.86361,189,386
Saint-Loup-Géanges,71350,1643,46.94639,4.90944,185,387
Saint-Marcel,71380,6211,46.77555,4.89611,177,388
Saint-Martin-Belle-Roche,71118,1388,46.38194,4.85639,210,389
Saint-Martin-en-Bresse,71620,1902,46.81722,5.06083,185,390
Saint-Rémy,71100,6476,46.76972,4.83639,180,391
Saint-Sernin-du-Bois,71200,1729,46.84083,4.43361,447,392
Saint-Symphorien-d'Ancelles,71570,1128,46.19778,4.76972,189,393
Saint-Usuge,71500,1221,46.67667,5.25083,200,394
Saint-Vallier,71230,8508,46.64222,4.36889,330,395
Saint-Yan,71600,1132,46.41056,4.03806,240,396
Sancé,71000,2158,46.34111,4.83167,200,397
Sanvignes-les-Mines,71410,4265,46.66722,4.29222,350,398
Sassenay,71530,1601,46.83083,4.92389,180,399
Savigny-en-Revermont,71580,1141,46.63445,5.41944,216,400
Sennecey-le-Grand,71240,2911,46.63917,4.87028,210,401
Senozan,71260,1132,46.39778,4.86222,205,402
Sevrey,71100,1208,46.73778,4.84139,195,403
Simandre,71290,1744,46.6225,4.9875,200,404
Simard,71330,1175,46.72,5.18028,205,405
Sornay,71500,1958,46.62972,5.18222,179,406
Torcy,71210,2805,46.77056,4.45583,310,407
Toulon-sur-Arroux,71320,1447,46.69361,4.14028,260,408
Tournus,71700,5702,46.56083,4.91111,180,409
Tramayes,71520,1067,46.30806,4.59972,480,410
Varennes-le-Grand,71240,2287,46.71111,4.87778,187,411
Varennes-Saint-Sauveur,71480,1116,46.48111,5.24389,208,412
Verdun-Ciel,71350,1838,46.895,5.02417,176,413
Viré,71260,1218,46.44833,4.84417,230,414
Virey-le-Grand,71530,1393,46.84333,4.86639,188,415
Vitry-en-Charollais,71600,1082,46.45417,4.05972,260,416
Appoigny,89380,3133,47.87667,3.52556,96,417
Auxerre [3],89000,35236,47.79833,3.57139,120,418
Avallon,89200,6346,47.48889,3.91028,220,419
Bléneau,89220,1146,47.69861,2.94917,160,420
Brienon-sur-Armançon,89210,3060,47.99278,3.61722,100,421
Cerisiers,89320,1002,48.13055,3.4875,150,422
Cézy,89410,1081,47.99222,3.34139,76,423
Chablis,89800,2151,47.815,3.79833,140,424
Champigny,89340,2127,48.31805,3.1275,80,425
Champs-sur-Yonne,89290,1534,47.73778,3.59944,105,426
Charbuy,89113,1870,47.82278,3.46583,160,427
