ville1,ville2,distance,id_liaison
456,472,9.12194272975232,3581
456,481,7.482162560105051,3582
457,459,7.338943381737028,3583
457,463,13.597956200734341,3584
457,464,7.720438548564533,3585
457,467,5.300642960492609,3586
457,469,10.868264973144974,3587
457,474,8.82050226457817,3588
457,479,2.6267646918509153,3589
457,484,8.047323973468409,3590
458,462,11.333922245843535,3591
458,476,7.124284203876715,3592
458,478,10.666063687352862,3593
458,481,11.87046653592031,3594
459,464,2.111969782819007,3595
459,465,14.902117666862305,3596
459,467,2.169045631140024,3597
459,468,14.085304117053697,3598
459,469,4.5442898678681125,3599
459,470,11.975377326325543,3600
459,474,11.664270820996276,3601
459,479,9.912908415926278,3602
460,473,13.142486360297347,3603
461,466,14.416820818367789,3604
461,477,3.3968356877032724,3605
462,466,11.863973843579846,3606
462,475,11.876882019989564,3607
462,476,7.820858395040312,3608
462,481,3.470271079974742,3609
463,479,10.976759160732563,3610
463,484,5.561635064771755,3611
464,465,12.805042076476877,3612
464,467,2.621654929200361,3613
464,468,14.333390563853133,3614
464,469,6.253206780677321,3615
464,470,13.753158245201428,3616
464,474,13.381200302740192,3617
464,479,10.094012309489171,3618
465,467,14.276712266683912,3619
466,475,12.030511743577463,3620
466,476,11.123162774831108,3621
466,477,11.601407201137897,3622
467,469,6.482042078657543,3623
467,470,13.703684149950993,3624
467,474,10.960961115935634,3625
467,479,7.81844911546023,3626
467,484,13.033334445307538,3627
468,469,11.288450610940401,3628
468,470,11.620218340136226,3629
468,480,13.430698606396302,3630
468,483,14.640820948152712,3631
468,485,9.37783095549992,3632
469,470,7.500204152148677,3633
469,474,11.894065185424497,3634
469,479,13.486832798094863,3635
470,474,14.202477594288878,3636
470,482,13.29438127550246,3637
474,479,9.690395057507342,3638
474,482,12.259354801258114,3639
474,484,13.542779490784053,3640
475,481,13.223026771322026,3641
476,481,10.35232295447423,3642
479,484,5.436999987699978,3643
480,483,2.3083638512193843,3644
480,485,4.898305130820208,3645
483,485,5.405932670663443,3646
486,487,3.079550888041223,3647
486,488,13.44055544506735,3648
486,489,4.435851608971278,3649
486,490,7.014699376683255,3650
486,491,6.112133024909954,3651
486,492,5.034050786401671,3652
486,493,12.310923272756984,3653
486,494,5.2671005416464824,3654
486,495,6.157839285114975,3655
486,496,1.4823769902605772,3656
486,497,14.491488815007637,3657
486,498,5.054049111552311,3658
486,499,13.91764645179732,3659
486,500,9.561769678734853,3660
486,502,10.948088993159837,3661
486,503,13.458500870838268,3662
486,505,2.497204664308443,3663
486,506,8.58234428926597,3664
486,507,10.457800792648419,3665
486,508,8.12828621086084,3666
486,509,6.938005383769011,3667
486,510,4.351985440310685,3668
486,511,8.451739839730934,3669
486,513,3.554207051109676,3670
486,514,7.3562847409150685,3671
486,515,3.8096033919851826,3672
487,489,3.0642328437249153,3673
487,490,8.13126399924041,3674
487,491,9.16169418083227,3675
487,492,6.92471260772886,3676
487,493,10.226492670431671,3677
487,494,6.936555412936101,3678
487,495,3.7100874501013634,3679
487,496,2.4481297693785145,3680
487,498,2.010321847699208,3681
487,499,13.167354839349512,3682
487,500,6.812388029015572,3683
487,501,14.139457926654075,3684
487,502,14.025384467680029,3685
487,505,5.495400116163725,3686
487,506,11.469473520066837,3687
487,507,12.921450641828171,3688
487,508,11.15569862258618,3689
487,509,6.078841353233147,3690
487,510,4.945012231810603,3691
487,511,8.528508325287447,3692
487,513,5.915704854247061,3693
487,514,5.337611748730536,3694
487,515,6.300237511187158,3695
488,491,8.08591684127307,3696
488,492,9.645425242955763,3697
488,496,14.842784146806963,3698
488,497,5.6315885903540925,3699
488,502,6.576980986570659,3700
488,503,6.848170999322905,3701
488,505,12.035982495057032,3702
488,506,5.076357857795259,3703
488,507,14.450151164637433,3704
488,508,6.349152299489174,3705
488,513,10.245043049661742,3706
488,515,13.288867999634936,3707
489,490,5.857855141907108,3708
489,491,10.103348137002948,3709
489,492,9.307278425665878,3710
489,493,7.878381749689663,3711
489,494,5.328385336345512,3712
489,495,2.261891059897544,3713
489,496,2.9741289745076815,3714
489,498,3.156182416470564,3715
489,499,10.119794852316058,3716
489,500,5.666882559719038,3717
489,501,11.896901831899909,3718
489,502,14.582937482323748,3719
489,504,13.31683861759582,3720
489,505,5.987507894919039,3721
489,506,12.841296753840552,3722
489,507,11.688685013064262,3723
489,508,12.14055954674046,3724
489,509,3.0146332009851844,3725
489,510,2.8504742000947254,3726
489,511,5.610323961243846,3727
489,512,13.300021574793375,3728
489,513,7.958094092889761,3729
489,514,2.953734224856331,3730
489,515,5.763079696492345,3731
490,491,9.296750992120451,3732
490,492,11.508164081793444,3733
490,493,10.455131845845775,3734
490,494,2.0282238112898234,3735
490,495,7.809334506398432,3736
490,496,6.13226903620864,3737
490,498,8.955557960689294,3738
490,499,8.615788732677643,3739
490,500,10.578999118368223,3740
490,501,14.071060122911172,3741
490,502,12.216299198984666,3742
490,503,14.30121863865672,3743
490,505,6.17527296554205,3744
490,506,12.310364740051208,3745
490,507,6.606104683952495,3746
490,508,10.964951817778179,3747
490,509,4.637827593642022,3748
490,510,3.1964675437697685,3749
490,511,2.9129429202070782,3750
490,512,10.338983940760839,3751
490,513,9.824148101372236,3752
490,514,7.266719176135497,3753
490,515,4.293838261708485,3754
491,492,5.246867714666498,3755
491,494,7.357743991480873,3756
491,495,12.123861798488162,3757
491,496,7.286590236284098,3758
491,497,8.381427717230887,3759
491,498,11.158317813061565,3760
491,502,4.947668846010723,3761
491,503,7.448397124242237,3762
491,505,4.1266799887760195,3763
491,506,3.0267988556440666,3764
491,507,8.191761327158703,3765
491,508,2.040985640123517,3766
491,509,11.771199856015748,3767
491,510,8.545568753683229,3768
491,511,11.923594291280297,3769
491,513,4.337742657348412,3770
491,514,13.031512701385457,3771
491,515,5.202998553548447,3772
492,494,9.529053419387258,3773
492,495,10.605909171689952,3774
492,496,6.484774782999589,3775
492,497,12.423580994887745,3776
492,498,8.760058749210037,3777
492,500,13.694078994695822,3778
492,502,9.708539197719979,3779
492,503,12.031985618407123,3780
492,505,5.407177626177108,3781
492,506,5.8357065036114655,3782
492,507,12.838473039092799,3783
492,508,6.45471250374743,3784
492,509,11.965377467202133,3785
492,510,9.289081993805745,3786
492,511,13.362927561531702,3787
492,513,1.6871961125189046,3788
492,514,12.089959753529902,3789
492,515,7.404099934586626,3790
